Date,Open,High,Low,End,Amount
2024110700:14:57,13675,13675,13670,13675,92853250
2024110700:14:58,13675,13675,13670,13675,120121200
2024110700:14:59,13680,13680,13675,13675,208106150
2024110700:15:00,13670,13675,13670,13670,52328760
2024110700:15:01,13670,13680,13670,13680,135691920
2024110700:15:02,13680,13685,13680,13680,80041680
2024110700:15:03,13680,13680,13675,13675,142671275
2024110700:15:04,13680,13680,13670,13670,175468120
2024110700:15:05,13675,13675,13675,13675,71684350
2024110700:15:06,13675,13675,13670,13675,179552750
2024110700:15:07,13675,13680,13670,13675,71479225
2024110700:15:08,13670,13685,13670,13670,183738470
2024110700:15:09,13670,13670,13665,13670,64795800
2024110700:15:10,13670,13670,13660,13665,103430385
2024110700:15:11,13665,13665,13660,13665,137524560
2024110700:15:12,13665,13665,13660,13665,87018720
2024110700:15:13,13665,13665,13660,13660,149358440
2024110700:15:14,13665,13665,13660,13665,115045635
2024110700:15:15,13665,13670,13660,13665,118926495
2024110700:15:16,13665,13665,13660,13665,35966280
2024110700:15:17,13665,13665,13655,13660,41622020
2024110700:15:18,13660,13660,13655,13655,41934505
2024110700:15:19,13660,13660,13655,13655,28183920
2024110700:15:20,13660,13665,13655,13665,82126650
2024110700:15:30,13665,13665,13665,13665,178041285
2024110800:09:01,13940,13950,13905,13910,293556640
2024110800:09:02,13910,13910,13860,13900,208305400
2024110800:09:03,13880,13900,13870,13900,190221500
2024110800:09:04,13895,13985,13885,13970,347964760
2024110800:09:05,13975,13995,13975,13990,316271930
2024110800:09:06,13995,14015,13995,14005,216209190
2024110800:09:07,14005,14005,13990,14000,118076000
2024110800:09:08,14000,14005,13995,14000,118860000
2024110800:09:09,14000,14005,13995,14000,169050000
2024110800:09:10,14000,14005,13995,14000,374402000
2024110800:09:11,14000,14010,14000,14010,104738760
2024110800:09:12,14005,14010,14000,14000,160468000
2024110800:09:13,14005,14010,14000,14005,180328380
2024110800:09:14,14010,14010,14005,14005,73372195
2024110800:09:15,14005,14010,14000,14005,70725250
2024110800:09:16,14000,14005,14000,14000,338632000
2024110800:09:17,14000,14010,14000,14010,57132780
2024110800:09:18,14010,14010,14005,14005,87013065
2024110800:09:19,14005,14010,14000,14005,100527890
2024110800:09:20,14005,14005,14000,14000,145768000
2024110800:09:21,14005,14005,13995,14000,114268000
2024110800:09:22,14000,14000,13990,13995,237033315
2024110800:09:23,13995,13995,13990,13990,60184980
2024110800:09:24,13990,14000,13990,14000,71540000
2024110800:09:25,13995,13995,13990,13995,24757155
2024110800:09:26,13995,13995,13990,13995,88532370
2024110800:09:27,13995,14005,13995,14005,204879145
2024110800:09:28,14005,14005,13995,14000,51590000
2024110800:09:29,14000,14005,13995,13995,68365575
2024110800:09:30,14000,14005,14000,14005,59661300
2024110800:09:31,14005,14010,14000,14005,192666785
2024110800:09:32,14005,14005,14000,14000,60466000
2024110800:09:33,14000,14000,13995,14000,93016000
2024110800:09:34,14000,14000,13995,14000,160916000
2024110800:09:35,14005,14005,14000,14000,79268000
2024110800:09:36,14005,14005,14000,14005,84702240
2024110800:09:37,14005,14005,14000,14000,45136000
