code,section,date,open,high,low,close
U001,KOSPI,20140102,2013.1099853515625,2013.8900146484375,1967.18994140625,1967.18994140625
U001,KOSPI,20140103,1963.719970703125,1964.6300048828125,1936.1500244140625,1946.1400146484375
U001,KOSPI,20140106,1947.6199951171875,1961.8499755859375,1943.739990234375,1953.280029296875
U001,KOSPI,20140107,1947.6500244140625,1965.739990234375,1947.0799560546875,1959.43994140625
U001,KOSPI,20140108,1965.5,1966.949951171875,1950.02001953125,1958.9599609375
U001,KOSPI,20140109,1962.300048828125,1964.5899658203125,1946.1099853515625,1946.1099853515625
U001,KOSPI,20140110,1949.530029296875,1956.969970703125,1931.1600341796875,1938.5400390625
U001,KOSPI,20140113,1947.3800048828125,1954.0699462890625,1942.8299560546875,1948.9200439453125
U001,KOSPI,20140114,1942.7900390625,1961.72998046875,1939.31005859375,1946.0699462890625
U001,KOSPI,20140115,1956.4300537109375,1956.8399658203125,1945.8699951171875,1953.280029296875
U001,KOSPI,20140116,1957.9100341796875,1965.27001953125,1955.7900390625,1957.3199462890625
U001,KOSPI,20140117,1958.5,1962.6400146484375,1943.1300048828125,1944.47998046875
U001,KOSPI,20140120,1945.989990234375,1955.280029296875,1934.3800048828125,1953.780029296875
U001,KOSPI,20140121,1955.260009765625,1965.4300537109375,1949.56005859375,1963.8900146484375
U001,KOSPI,20140122,1960.4599609375,1970.4200439453125,1959.5699462890625,1970.4200439453125
U001,KOSPI,20140123,1968.77001953125,1969.0400390625,1947.010009765625,1947.5899658203125
U001,KOSPI,20140124,1941.550048828125,1947.010009765625,1924.489990234375,1940.56005859375
U001,KOSPI,20140127,1905.9100341796875,1918.6800537109375,1899.760009765625,1910.3399658203125
U001,KOSPI,20140128,1907.1800537109375,1919.260009765625,1904.050048828125,1916.9300537109375
U001,KOSPI,20140129,1925.9300537109375,1941.7099609375,1925.52001953125,1941.1500244140625
U001,KOSPI,20140203,1930.0899658203125,1931.81005859375,1917.6400146484375,1919.9599609375
U001,KOSPI,20140204,1894.9599609375,1898.0799560546875,1885.530029296875,1886.8499755859375
U001,KOSPI,20140205,1897.949951171875,1901.4000244140625,1888.469970703125,1891.3199462890625
U001,KOSPI,20140206,1897.3499755859375,1910.9100341796875,1897.3499755859375,1907.8900146484375
U001,KOSPI,20140207,1922.449951171875,1923.25,1910.9000244140625,1922.5
U001,KOSPI,20140210,1928.1300048828125,1928.3900146484375,1916.4000244140625,1923.300048828125
U001,KOSPI,20140211,1924.449951171875,1935.2900390625,1920.550048828125,1932.06005859375
U001,KOSPI,20140212,1942.22998046875,1942.22998046875,1933.5400390625,1935.8399658203125
U001,KOSPI,20140213,1936.6199951171875,1944.72998046875,1924.3900146484375,1926.9599609375
U001,KOSPI,20140214,1930.1400146484375,1946.81005859375,1930.1400146484375,1940.280029296875
U001,KOSPI,20140217,1951.739990234375,1955.0400390625,1942.93994140625,1946.3599853515625
U001,KOSPI,20140218,1946.8800048828125,1951.06005859375,1935.5999755859375,1946.9100341796875
U001,KOSPI,20140219,1944.699951171875,1944.699951171875,1932.43994140625,1942.9300537109375
U001,KOSPI,20140220,1932.9000244140625,1941.1300048828125,1927.530029296875,1930.5699462890625
U001,KOSPI,20140221,1948.030029296875,1957.8299560546875,1946.6800537109375,1957.8299560546875
U001,KOSPI,20140224,1958.06005859375,1961.4100341796875,1943.8599853515625,1949.050048828125
U001,KOSPI,20140225,1958.300048828125,1964.8599853515625,1955.699951171875,1964.8599853515625
U001,KOSPI,20140226,1963.449951171875,1973.8800048828125,1955.9200439453125,1970.77001953125
U001,KOSPI,20140227,1969.8499755859375,1980.3699951171875,1965.699951171875,1978.4300537109375
U001,KOSPI,20140228,1976.47998046875,1981.1500244140625,1972.6500244140625,1979.989990234375
U001,KOSPI,20140303,1967.9000244140625,1969.1600341796875,1955.1099853515625,1964.68994140625
U001,KOSPI,20140304,1954.5799560546875,1963.56005859375,1952.6099853515625,1954.1099853515625
U001,KOSPI,20140305,1973.280029296875,1977.300048828125,1970.280029296875,1971.239990234375
U001,KOSPI,20140306,1973.6700439453125,1975.6199951171875,1968.1700439453125,1975.6199951171875
U001,KOSPI,20140307,1979.699951171875,1983.530029296875,1968.6600341796875,1974.6800537109375
U001,KOSPI,20140310,1967.6300048828125,1967.6600341796875,1951.9599609375,1954.4200439453125
U001,KOSPI,20140311,1957.219970703125,1963.8699951171875,1951.199951171875,1963.8699951171875
U001,KOSPI,20140312,1957.6700439453125,1958.0899658203125,1930.47998046875,1932.5400390625
U001,KOSPI,20140313,1940.3499755859375,1946.280029296875,1931.75,1934.3800048828125
U001,KOSPI,20140314,1916.0699462890625,1927.8900146484375,1913.6400146484375,1919.9000244140625
U001,KOSPI,20140317,1921.1500244140625,1928.4300537109375,1919.6099853515625,1927.530029296875
U001,KOSPI,20140318,1941.1199951171875,1946.1400146484375,1931.8299560546875,1940.2099609375
U001,KOSPI,20140319,1947.3399658203125,1948.1500244140625,1935.27001953125,1937.6800537109375
U001,KOSPI,20140320,1934.1500244140625,1934.6300048828125,1919.3699951171875,1919.52001953125
U001,KOSPI,20140321,1930.239990234375,1935.1800537109375,1927.8499755859375,1934.93994140625
U001,KOSPI,20140324,1937.06005859375,1950.5400390625,1937.06005859375,1945.550048828125
U001,KOSPI,20140325,1940.9000244140625,1946.0899658203125,1936.6199951171875,1941.25
U001,KOSPI,20140326,1954.5999755859375,1965.43994140625,1953.68994140625,1964.31005859375
U001,KOSPI,20140327,1963.6600341796875,1979.699951171875,1963.0999755859375,1977.969970703125
U001,KOSPI,20140328,1972.6300048828125,1985.5,1971.25,1981.0
U001,KOSPI,20140331,1988.72998046875,1989.800048828125,1973.050048828125,1985.6099853515625
U001,KOSPI,20140401,1983.780029296875,1991.97998046875,1976.06005859375,1991.97998046875
U001,KOSPI,20140402,2000.1300048828125,2001.260009765625,1995.0799560546875,1997.25
U001,KOSPI,20140403,1999.4200439453125,2007.8800048828125,1992.1600341796875,1993.699951171875
U001,KOSPI,20140404,1987.8399658203125,1993.9599609375,1985.760009765625,1988.0899658203125
U001,KOSPI,20140407,1984.2900390625,1992.1800537109375,1978.6300048828125,1989.699951171875
U001,KOSPI,20140408,1977.6099853515625,1994.5799560546875,1977.6099853515625,1993.030029296875
U001,KOSPI,20140409,1997.97998046875,2001.1500244140625,1992.1199951171875,1998.949951171875
U001,KOSPI,20140410,2007.7099609375,2008.97998046875,1995.7900390625,2008.6099853515625
U001,KOSPI,20140411,1985.280029296875,1997.43994140625,1985.1600341796875,1997.43994140625
U001,KOSPI,20140414,1993.81005859375,2001.0,1993.0699462890625,1997.02001953125
U001,KOSPI,20140415,2008.489990234375,2009.0400390625,1990.3399658203125,1992.27001953125
U001,KOSPI,20140416,1994.31005859375,1995.8599853515625,1986.25,1992.2099609375
U001,KOSPI,20140417,2000.469970703125,2001.2900390625,1984.97998046875,1992.050048828125
U001,KOSPI,20140418,1998.52001953125,2005.219970703125,1998.260009765625,2004.280029296875
U001,KOSPI,20140421,2006.2099609375,2006.949951171875,1993.530029296875,1999.219970703125
U001,KOSPI,20140422,2000.93994140625,2004.4200439453125,1991.469970703125,2004.219970703125
U001,KOSPI,20140423,2010.06005859375,2013.0899658203125,1999.780029296875,2000.3699951171875
U001,KOSPI,20140424,2006.3800048828125,2007.1700439453125,1993.1800537109375,1998.3399658203125
U001,KOSPI,20140425,1996.6099853515625,1996.6400146484375,1971.6600341796875,1971.6600341796875
U001,KOSPI,20140428,1969.0400390625,1976.56005859375,1969.0400390625,1969.260009765625
U001,KOSPI,20140429,1974.6700439453125,1976.1700439453125,1960.3599853515625,1964.77001953125
U001,KOSPI,20140430,1973.56005859375,1974.3299560546875,1955.1500244140625,1961.7900390625
U001,KOSPI,20140502,1966.2900390625,1968.5,1956.3199462890625,1959.43994140625
U001,KOSPI,20140507,1964.18994140625,1964.18994140625,1939.550048828125,1939.8800048828125
U001,KOSPI,20140508,1945.93994140625,1950.5999755859375,1934.719970703125,1950.5999755859375
U001,KOSPI,20140509,1953.47998046875,1958.3399658203125,1949.6400146484375,1956.550048828125
U001,KOSPI,20140512,1956.260009765625,1966.6400146484375,1950.9100341796875,1964.93994140625
U001,KOSPI,20140513,1973.0799560546875,1988.4100341796875,1969.5999755859375,1982.9300537109375
U001,KOSPI,20140514,1990.989990234375,2010.8499755859375,1990.7900390625,2010.8299560546875
U001,KOSPI,20140515,2007.8800048828125,2015.3699951171875,2006.3800048828125,2010.199951171875
U001,KOSPI,20140516,2003.47998046875,2013.43994140625,1997.27001953125,2013.43994140625
U001,KOSPI,20140519,2013.7900390625,2015.530029296875,2002.8900146484375,2015.1400146484375
U001,KOSPI,20140520,2011.8499755859375,2014.4599609375,2004.3199462890625,2011.260009765625
U001,KOSPI,20140521,2003.47998046875,2015.6300048828125,2001.739990234375,2008.3299560546875
U001,KOSPI,20140522,2015.4100341796875,2022.5899658203125,2011.5999755859375,2015.5899658203125
U001,KOSPI,20140523,2013.0899658203125,2017.9599609375,2011.760009765625,2017.1700439453125
